User Age,City,Province,Country,Latitude,Longitude,Fact Reported,Converted Religious Message
50,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are safe and effective.,Protecting life is a divine duty.
54,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
61,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines are safe and effective.,Protecting life is a divine duty.
39,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are safe and effective.,Protecting life is a divine duty.
40,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
53,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
36,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
32,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are safe and effective.,Protecting life is a divine duty.
34,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
51,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
65,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
18,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
41,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
42,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
56,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are safe and effective.,Protecting life is a divine duty.
51,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
26,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
48,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
22,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
21,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
37,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
44,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
25,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
58,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
56,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
46,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are safe and effective.,Protecting life is a divine duty.
45,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
36,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
25,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
42,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
18,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
49,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
55,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
50,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
24,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
45,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines are safe and effective.,Protecting life is a divine duty.
38,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
20,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are safe and effective.,Protecting life is a divine duty.
44,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
62,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are safe and effective.,Protecting life is a divine duty.
23,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
63,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are safe and effective.,Protecting life is a divine duty.
65,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
40,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
49,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines are safe and effective.,Protecting life is a divine duty.
55,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
33,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
56,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
20,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
26,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines are safe and effective.,Protecting life is a divine duty.
38,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are safe and effective.,Protecting life is a divine duty.
44,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
47,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
46,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are safe and effective.,Protecting life is a divine duty.
25,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
40,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
40,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are safe and effective.,Protecting life is a divine duty.
42,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
23,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
31,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
40,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
18,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
35,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are safe and effective.,Protecting life is a divine duty.
65,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
55,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines are safe and effective.,Protecting life is a divine duty.
30,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
58,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
65,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
62,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
60,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are safe and effective.,Protecting life is a divine duty.
32,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines are safe and effective.,Protecting life is a divine duty.
42,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
29,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
43,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
29,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
63,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
65,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
59,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are safe and effective.,Protecting life is a divine duty.
55,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are safe and effective.,Protecting life is a divine duty.
29,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
60,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
56,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
28,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
60,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
31,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
28,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
34,Port Elizabeth,Eastern Cape,South Africa,-33.9608,25.6022,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
18,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
54,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
29,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
18,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines strengthen the immune system.,Community health is a shared spiritual responsibility.
38,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
59,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines are safe and effective.,Protecting life is a divine duty.
18,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccination prevents the spread of disease in communities.,Guarding against illness is an act of faith.
59,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
19,Johannesburg,Gauteng,South Africa,-26.2041,28.0473,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
36,Cape Town,Western Cape,South Africa,-33.9249,18.4241,Vaccines protect children from deadly diseases.,Caring for the health of children aligns with sacred teachings.
50,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are safe and effective.,Protecting life is a divine duty.
22,Pretoria,Gauteng,South Africa,-25.7479,28.2293,Vaccines are rigorously tested for safety.,Preserving life through vaccination is a moral obligation.
31,Durban,KwaZulu-Natal,South Africa,-29.8587,31.0218,Vaccines are safe and effective.,Protecting life is a divine duty.
